
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		5,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		5,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		5,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		7,		-1	// Sellvalue -1 means it can not be selled
		Apple,					*,		5,		-1
		Pear,					*,		7,		-1
		Orange,					*,		5,		-1
		Banana,					*,		5,		-1
		Tomato,					*,		5,		-1
		Potato,					*,		5,		-1
		GreenBellPepper,		*,		6,		-1
		Zucchini,				*,		8,		4
		Pumpkin,				*,		10,		5
		AgaricusMushroom,		*,		2,		1
		AmanitaMushroom,		*,		2,		1
		LactariusMushroom,		*,		2,		1
		MacrolepiotaMushroom,	*,		2,		1
		PsilocybeMushroom,		*,		2,		1
		AuriculariaMushroom,	*,		2,		1
		BoletusMushroom,		*,		2,		1
		PleurotusMushroom,		*,		2,		1
	
	<Category> Packaged Food
		PowderedMilk,			*,		4,		-1
		BoxCerealCrunchin,		*,		20,		1
		Rice,					*,		20,		1
		Marmalade,				*,		10,		1
		PeachesCan,				*,		8,		2
		SardinesCan,			*,		7,		2
		TunaCan,				*,		8,		2
		SpaghettiCan,			*,		7,		2
		BakedBeansCan,			*,		7,		2
		TacticalBaconCan,		*,		12,		3		
		
	<Category> Meat
		ChickenBreastMeat,		S,		-1,		5
		GoatSteakMeat,			S,		-1,		6
		SheepSteakMeat,			S,		-1,		6
		PigSteakMeat,			S,		-1,		7
		BoarSteakMeat,			S,		-1,		12
		WolfSteakMeat,			S,		-1,		30
		DeerSteakMeat,			S,		-1,		4
		CowSteakMeat,			S,		-1,		3	
		Sardines,				S,		-1,		3
		Carp,					S,		-1,		5
		Mackerel,				S,		-1,		12
		
	<Category> Animal Parts
		Bone,					*,		2,		1
		Lard,					*,		2,		1
		Guts,					*,		2,		1
		SmallGuts,				*,		2,		1
		
	<Category> Drinks
		SodaCan_Cola, 			*,		2, 		1
		SodaCan_Kvass, 			*,		2, 		1
		SodaCan_Pipsi, 			*,		2, 		1
		SodaCan_Spite, 			*,		2, 		1
		WaterBottle,			*,		5,		2
		Canteen,				*,		8,		4
		Vodka,					*,		12,		8
		
	<Category> Medical Supplies
		//Rag,					1,		3,		-1
		BandageDressing,		*,		10,		1
		BloodTestKit,			*,		15,		2
		//InjectionVial,		*,		15, 		2
		Thermometer,			*,		17,		2
		DisinfectantSpray,		*,		8,		5
		//Syringe,				*,		20, 		5
		Heatpack,				*,		20,		5
		StartKitIV,				*,		20,		6
		SalineBag,				*,		25,		8
		BloodBagEmpty,			*,		25,		10
		FirstAidKit,			*,		35,		10
		Defibrillator,		*,		    50, 	25
		
	<Category> Medications
		CharcoalTablets,		*,		2,		1
		DisinfectantAlcohol,	*,		4,		2
		VitaminBottle,			*,		6,		4
		TetracyclineAntibiotics,*,		10,		5
		PainkillerTablets,		*,		20,		6
		Epinephrine,			*,		40,		10
		Morphine,				*,		37,		15	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		7,		1
		Wrench,					*,		7,		1
		SewingKit,				*,		20, 		1
		Pliers,					*,		7, 		1
		LeatherSewingKit,		*,		7, 		2
		Whetstone,				*,		6,		2
		Hammer,					*,		50,		3
		Hacksaw,				*,		55,		3
		HandSaw,				*,		55,		3
		WeaponCleaningKit,		*,		150, 	3
		KitchenKnife,			*,		10,		4
		SteakKnife,				*,		34,		4
		HuntingKnife,			*,		45,		4
		CanOpener,				*,		19,		4
		Compass,				*,		75,		4
		OrienteeringCompass,	*,		85,		4
		Hatchet,				*,		60,		4
		CombatKnife,			*,		65,		5
		Machete,				*,		45,		6	
		ChernarusMap,			*,		0,		5
		Lockpick,				*,		120,		10
		Binoculars,				*,		40,		15		
		FishingRod,				*,		15,		15
		
	<Category> Tools (big)
		LugWrench,				*,		8,		1
		Crowbar,				*,		10,		3
		Shovel,					*,		12,		3
		Pickaxe,				*,		15,		4
		SledgeHammer,			*,		50,		25
		WoodAxe,				*,		25,		8
